SRA_Run,biosample,geo_loc_name,marine_region,geographic_location(region_and_locality),lat_lon,geographic_location(latitude),geographic_location(longitude),geographic_location(depth),latitude_start,latitude_end,longitude_start,longitude_end,submission
ERR1712099,ERS494049,,"(search radius=5 degrees) Marine Ecoregion:Floridian (MRGID:21977), Marine Ecoregion:Carolinian (MRGID:22003)",,"(latituden=29.7186, longitudee=-79.6636)",,,,29.7186,29.727,-79.6636,-79.6715,EBI; 2016-10-22
SRR7153012,SAMN07125045,,,Sweden: Stordalen mire,68.3533 N 19.0476 E,,,,,,,,"Australian Centre for Ecogenomics, The University of Queensland, Ben Woodcroft; 2017-05-15"
SRR6049632,SAMN07631364,,,Atlantic Ocean:Southern Atlantic ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2017-09-11
SRR6122724,SRS2570899,,,not applicable,,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Jingjing Peng; 2017-10-05"
SRR9962378,SRS5263777,,,,,,,,,,,,"Dome, Dome Adoonsook; 2019-08-13"
SRR7687096,SRS3664892,,,USA: Oregon,46.1812 N 123.1834 W,,,,,,,,JGI; 2018-05-08
ERR3587118,ERS491980,,"(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Guayaquil (MRGID:21974)",,"(latituden=-5.261, longitudee=-85.1678)",,,,-5.261,-5.2771,-85.1678,-85.2995,EBI; 2014-09-13
ERR1711924,ERS490343,,,,"(latituden=-20.4091, longitudee=-3.1759)",,,,-20.4091,-20.3976,-3.1759,-3.2009,EBI; 2014-07-17
SRR5830081,SAMN06264350,,,USA: Chesapeake Bay,37.1043 N 76.1811 W,,,,,,,,JGI; 2017-01-25
SRR5266198,SAMN06267874,,,"USA:Monterey Bay, California, USA",36.25 N 122.2099 W,,,,,,,,JGI; 2017-01-25
SRR11541431,SAMN14595192,,,,,,,,,,,,"University of Aberdeen, Ashish Malik; 2020-04-14"
ERR1711893,ERS489289,,(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774),,"(latituden=-0.6625, longitudee=73.1611)",,,,-0.6625,-0.6625,73.1611,73.161,EBI; 2016-10-29
SRR6824235,SAMN07630359,,,USA: Georgia,31.9720 N 81.0280 W,,,,,,,,JGI; 2017-09-11
SRR7523479,SRS3547639,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR9607937,SAMN12129189,,,"USA:Connecticut,Groton",41.30 N 72.06 W,,,,,,,,"Smith College, Jean-David Grattepanche; 2019-06-24"
SRR5258659,SRS1980554,,,"USA:Hopland, California, USA",38.972988 N 123.116539 W,,,,,,,,JGI; 2017-01-25
SRR6342622,SAMN08118040,,,USA:Texas,29.635 N 93.6417 W,,,,,,,,"Mount Allison University, Andrew Irwin; 2017-12-01"
SRR5253620,SRS2871715,,,"Germany: Schloeppnerbrunnen fen II, Fichtel Mountains, northeastern Bavaria",50.131881 N 11.881046 E,,,,,,,,"University of Vienna, Bela Hausmann; 2016-07-13"
SRR11828900,SRS6693942,,,"USA: Rowley, Massachusetts",42.7489 N 70.8243 W,,,,,,,,JGI; 2020-03-31
SRR2177828,SRS1042634,,,France,48.553847 N 4.535771 W,,,,,,,,"Mediterranean Institute of Oceanography, Alexandre ATKINSON; 2015-08-21"
SRR6399914,SAMN08216021,,,"USA:california,Menlo Park",37.4594516 N 122.1636314 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR6831070,SRS3039961,,,Atlantic Ocean:Southern Atlantic Ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2018-03-05
SRR7153038,SAMN07124884,,,Sweden: Stordalen mire,68.3534 N 19.0468 E,,,,,,,,"Australian Centre for Ecogenomics, The University of Queensland, Ben Woodcroft; 2017-05-15"
SRR10090632,SRS5365817,,,,,,,,,,,,"DiRuggiero, Biology, The Johns Hopkins Univeristy, Diego Gelsinger; 2019-09-09"
SRR5208287,SRS1943456,,,"USA: Wyoming, Yellowstone National Park",44.963 N 110.715 W,,,,,,,,JGI; 2017-01-25
SRR7648302,SRS3630435,,,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,,,,,,,,"University of Hawaii, John Eppley; 2018-08-03"
ERR2562190,ERS2465365,,,Belgium,,50°99'85.06'',3°78'51.70''E,0.1,,,,,EBI; 2018-07-04
SRR5834167,SRS2360606,,,"USA:Trout Bog, Vilas County, Wisconsin",46.041 N 89.686 W,,,,,,,,JGI; 2017-01-25
SRR1958852,SRS351311,,,Svalbard: Ny-Alesund,78.916667 N 11.933333 E,,,,,,,,"University of Tromsø, Alexander Tveit; 2012-07-17"
SRR7153009,SAMN07125063,,,Sweden: Stordalen mire,68.3534 N 19.0468 E,,,,,,,,"Australian Centre for Ecogenomics, The University of Queensland, Ben Woodcroft; 2017-05-15"
ERR2809165,ERS2754441,,,Germany,,51.209467,10.791968,65,,,,,EBI; 2018-11-24
SRR9016288,SAMN11510441,,,USA: California,33.7417 N 117.7042 W,,,,,,,,JGI; 2019-04-25
SRR2029855,SRS938598,,,not applicable,50.14667 N 12.45083 E,,,,,,,,"Institute of Ecology, Friedrich Schiller University Jena, Felix Beulig; 2015-05-18"
SRR9599514,SAMN12129785,,,USA,39.0367 N 84.1381 W,,,,,,,,"Arizona State University, Huansheng Cao; 2019-06-24"
ERR1712212,SAMEA2731846,,,,"(latituden=34.0823, longitudee=-49.8695)",,,,34.0823,34.094,-49.8695,-49.8586,EBI; 2016-10-29
SRR8549371,SAMN10865659,,,Norway: Oslo,59.9982 N 10.7894 E,,,,,,,,JGI; 2019-02-01
SRR5428663,SRS2109288,,,"USA:Duke University, North Carolina, USA",36.0014 N 78.938218 W,,,,,,,,JGI; 2017-01-25
SRR11676195,SAMN14515327,,,USA: Texas,27.8959 N 97.0388 W,,,,,,,,JGI; 2020-04-01
SRR6399943,SRS2776673,,,"China:NA,Hangzhou",30.163287 N 120.19929 E,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
ERR1719374,ERS488742,,(search radius=5 degrees) Marine Ecoregion:Gulf of Oman (MRGID:4267),,"(latituden=20.8215, longitudee=63.512)",,,,20.8215,20.8208,63.512,63.5119,EBI; 2014-07-17
SRR9849942,SRS5169443,,,"Pacific Ocean: Urashima Vent Field, Southern Mariana Trough",12.922377 N 143.649258 E,,,,,,,,"University of Delaware, Sean McAllister; 2019-07-22"
SRR3233151,SRS1345325,,,USA: Station 180 at the Neuse River Estuary,35.06413 N 76.52602 W,,,,,,,,"UNC AT CHAPEL HILL, Weida Gong; 2016-03-07"
SRR3473042,SAMN04934597,,,Pacific Ocean: California Current System,35.93452 N 121.7337 W,,,,,,,,"University of North Carolina at Chapel Hill, Robert Lampe; 2016-05-03"
ERR908551,ERS743601,,,Pacific Ocean,,45.922741,-129.988104,1520,,,,,EBI; 2015-08-05
ERR3463894,SAMEA5842051,,,Germany,,48.269185,11.678631,,,,,,EBI; 2020-08-01
SRR8959047,SAMN11509945,,,"USA: Madison, WI",43.035801 N 89.359081 W,,,,,,,,"University of Wisconsin - Madison, Matthew Scarborough; 2019-04-25"
SRR6324891,SAMN08096560,,,Canada: Varennes,45.6998913 N 73.4298324 W,,,,,,,,"Institut National de la Recherche Scientifique, Etienne Yergeau; 2017-11-24"
SRR5834260,SAMN06265093,,,USA: Wisconsin,46.041 N 89.686 W,,,,,,,,JGI; 2017-01-25
SRR6049606,SAMN07631351,,,Atlantic Ocean:Southern Atlantic ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2017-09-11
SRR7804004,SRS3753223,,,Hungary: Siklos,,,,,,,,,"Institute for Groundwater Ecology, Helmholtz Zentrum München, Tillmann Lueders; 2018-09-07"
SRR3476608,SRS1422014,,,Canada: Line P Station P26 (Ocean Station Papa),50.00 N 145.00 W,,,,,,,,"University of North Carolina at Chapel Hill, Natalie Cohen; 2016-05-03"
SRR7990741,SRS1490718,,,India: Arabian sea,16.8313 N 71.9758 E,,,,,,,,"Bose Institute, Wriddhiman Ghosh; 2016-01-27"
SRR8141076,SAMN10250972,,,Indian Ocean: SW Indian Ridge Lower Crust and Moho,32.42 S 57.16 E,,,,,,,,"Woods Hole Oceanographic Institution, Virginia Edgcomb; 2018-10-17"
SRR2089049,SRS971259,,,Canada: Southwestern British Columbia,49 N 123 W,,,,,,,,"The University of British Columbia, Anamaria Crisan; 2015-06-24"
SRR6324920,SRS2716318,,,Canada: Varennes,45.700921 N 73.430375 W,,,,,,,,"Institut National de la Recherche Scientifique, Etienne Yergeau; 2017-11-24"
SRR6193123,SAMN05384388,,,"Germany: Schloeppnerbrunnen fen II, Fichtel Mountains, northeastern Bavaria",50.131881 N 11.881046 E,,,,,,,,"University of Vienna, Bela Hausmann; 2016-07-13"
SRR3505755,SAMN05000900,,,USA: Kansas,39.06 N 96.36000000 W,,,,,,,,"PNNL, Richard White III; 2016-05-14"
SRR5830084,SAMN06266059,,,USA: Chesapeake Bay,39.2637 N 76.0017 W,,,,,,,,JGI; 2017-01-25
SRR11679702,SAMN14511412,,,USA: Massachusetts,42.5315 N 72.1899 W,,,,,,,,JGI; 2020-03-31
ERR3587146,ERS488849,,,,"(latituden=19.0351, longitudee=64.5638)",,,,19.0351,18.9918,64.5638,64.5757,EBI; 2014-09-13
SRR3719437,SRS1525427,,,missing,48.7299 N 123.5699 W,,,,,,,,JGI; 2016-06-13
SRR11665887,SRS6581706,,,Antarctica:Antarctic Ocean,46.5954 S 142.0314 E,,,,,,,,JGI; 2020-04-01
SRR6324896,SRS2716342,,,Canada: Varennes,45.700921 N 73.430375 W,,,,,,,,"Institut National de la Recherche Scientifique, Etienne Yergeau; 2017-11-24"
SRR6399740,SRS2776308,,,"USA:california,Palo Alto",37.40988969 N 122.1593497 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR7533101,SAMN09202447,,,USA: Massachusetts,42.481016 N 72.178343 W,,,,,,,,JGI; 2018-05-11
SRR7590001,SAMN09201781,,,Czech Republic: South Bohemian Region,49.0427 N 13.6161 E,,,,,,,,JGI; 2018-05-11
ERR1712101,SAMEA2731900,,(search radius=5 degrees) Marine Ecoregion:Line Islands (MRGID:21839),,"(latituden=0.0348, longitudee=-153.7857)",,,,0.0348,0.0378,-153.7857,-153.7977,EBI; 2016-10-29
ERR3463883,SAMEA5842029,,,Germany,,48.269185,11.678631,,,,,,EBI; 2020-08-01
SRR2089074,SAMN03792241,,,Canada: Southwestern British Columbia,49 N 123 W,,,,,,,,"The University of British Columbia, Anamaria Crisan; 2015-06-24"
SRR7597001,SRS3194580,,,Australia: NSW,33.992034 S 151.232282 E,,,,,,,,knapier@ccg.murdoch.edu.au's shared submissions; 2018-04-19
SRR10513459,SRS4318425,,,Pacific Ocean,23.775 N 157.377 W,,,,,,,,"Columbia University, Matthew Harke; 2019-01-14"
SRR1199279,SAMN02628430,,,Atlantic Ocean:Western Tropical North Atlantic Ocean,10.68 N 54.42 W,,,,,,,,"University of Georgia, Brandon Satinsky; 2014-02-05"
SRR985301,10,,,,,,,,,,,,WUGSC; 2008-04-04
SRR7153012,SRS3289039,,,Sweden: Stordalen mire,68.3533 N 19.0476 E,,,,,,,,"Australian Centre for Ecogenomics, The University of Queensland, Ben Woodcroft; 2017-05-15"
ERR1719447,SAMEA2656988,,,,"(latituden=-16.9554, longitudee=-100.6911)",,,,-16.9554,-16.9554,-100.6911,-100.6971,EBI; 2014-07-17
SRR6053267,SAMN07631049,,,"USA: Yellowstone National Park, Wyoming",44.7315 N 110.7113 W,,,,,,,,JGI; 2017-09-11
SRR8435713,SRS3593395,,,Czech Republic: South Bohemian Region,49.0448 N 13.6180 E,,,,,,,,JGI; 2018-05-11
ERR1711997,ERS494418,,,,"(latituden=34.0639, longitudee=-49.844)",,,,34.0639,34.0598,-49.844,-49.8373,EBI; 2016-10-29
SRR3933471,SRS1572383,,,Canada:Atlantic,43.858 N 60.157 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2016-07-19"
ERR1719224,ERS488446,,"(search radius=5 degrees) Marine Province:Mediterranean Sea (MRGID:8552), Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)",,"(latituden=39.8386, longitudee=17.4155)",,,,39.8386,39.8401,17.4155,17.4152,EBI; 2014-07-17
ERR1711916,SAMEA2730749,,,,"(latituden=18.5745, longitudee=66.4895)",,,,18.5745,99999,66.4895,99999,EBI; 2015-05-06
SRR7522797,SAMN09201742,,,Canada: Quebec,47.3210 N 71.0886 W,,,,,,,,JGI; 2018-05-11
SRR3939269,SRS1577886,,,Pacific Ocean: California Current System,42.67 N 125 W,,,,,,,,"University of North Carolina at Chapel Hill, Natalie Cohen; 2016-07-21"
SRR5868325,SRS2384411,,,"Canada: St-Claude municipality, Quebec",45.68 N 72.00 W,,,,,,,,"INRS- Armand Frappier, Mondher Khdhiri; 2017-07-25"
SRR12342827,SAMN14512969,,,Indian Ocean: Subantarctic,46.5954 S 142.0314 E,,,,,,,,JGI; 2020-03-31
SRR4022185,SAMN05518307,,,"USA:Harvard Forest LTER, Petersham, MA, USA",42.53312 N 72.189707 W,,,,,,,,JGI; 2016-08-06
SRR7523456,SAMN09631223,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR7687120,SAMN09094390,,,USA: New York,45.0061 N 74.7949 W,,,,,,,,JGI; 2018-05-08
SRR10988198,SRS6079156,,,Denmark: Fredericia waster water treatment plant,55.55 N 9.72 E,,,,,,,,"Aalborg University, Thomas Michaelsen; 2020-01-30"
SRR6201536,SAMN06268750,,,"USA:Elkhorn Slough, Moss Landing, CA",36.8 N 121.8 W,,,,,,,,JGI; 2017-01-25
SRR9016625,SAMN11510387,,,USA: California,33.7417 N 117.7042 W,,,,,,,,JGI; 2019-04-25
SRR6049381,SRS2523496,,,USA: Delaware,39.283 N 75.3633 W,,,,,,,,JGI; 2017-09-11
SRR5213081,SRS1946229,,,"USA: Angelo Coastal Reserve, California",39.7181 N 123.6527 W,,,,,,,,JGI; 2017-01-25
SRR6048688,SAMN07631410,,,Atlantic Ocean:Southern Atlantic ocean,17.0000 S 29.0000 W,,,,,,,,JGI; 2017-09-11
SRR10090645,GSM4072315,,,,,,,,,,,,"DiRuggiero, Biology, The Johns Hopkins Univeristy, Diego Gelsinger; 2019-09-09"
SRR2177825,SRS1042630,,,France,48.553847 N 4.535771 W,,,,,,,,"Mediterranean Institute of Oceanography, Alexandre ATKINSON; 2015-08-21"
SRR5818295,SRS2347761,,,"USA: Angelo Coastal Reserve, California",39.7181 N 123.6527 W,,,,,,,,JGI; 2017-01-25
SRR6824282,SAMN07630364,,,USA: Georgia,31.9720 N 81.0280 W,,,,,,,,JGI; 2017-09-11
SRR6399834,SRS2776782,,,"USA:california,San Francisco",38.535476 N 121.74619 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR7006911,SAMN08778314,,,Colombia: Department of Meta,3.8381 N 73.3194 W,,,,,,,,JGI; 2018-03-22
ERR1719390,ERS490039,,"(search radius=5 degrees) Marine Province:Agulhas (MRGID:21760), Marine Province:Northern New Zealand (MRGID:21786), Marine Ecoregion:Natal (MRGID:21805), Marine Ecoregion:Agulhas Bank (MRGID:21806)",,"(latituden=-35.1728, longitudee=26.2868)",,,,-35.1728,-35.2087,26.2868,26.2932,EBI; 2016-11-11
ERR3586890,ERS491529,,,,"(latituden=-29.7238, longitudee=-101.1604)",,,,-29.7238,-29.6749,-101.1604,-101.2137,EBI; 2019-10-10
SRR6216377,SAMN06268825,,,Indian Ocean,27.5870 S 63.1486 E,,,,,,,,JGI; 2017-01-25
SRR9309403,SRS4978869,,,Saudi Arabia: Thuwal,22.3095 N 39.1047 E,,,,,,,,"king Abdullah university of science and technology (KAUST), Dario Rangel Shaw; 2019-06-12"
SRR5216504,SAMN06264819,,,USA: Chesapeake Bay,39.2454 N 76.028 W,,,,,,,,JGI; 2017-01-25
SRR5208280,SAMN06267461,,,"USA: Wyoming, Yellowstone National Park",44.963 N 110.715 W,,,,,,,,JGI; 2017-01-25
SRR7531806,SAMN09201405,,,USA: Massachusetts,42.481016 N 72.178343 W,,,,,,,,JGI; 2018-05-11
ERR4008007,SAMEA6264012,,Red Sea,,,,,,29.5021,,34.9167,,EBI; 2020-05-01
SRR11829378,SRS6694383,,,USA: Washington,47.6215 N 122.2558 W,,,,,,,,JGI; 2020-03-31
SRR5252871,SAMN05384278,,,"Germany: Schloeppnerbrunnen fen II, Fichtel Mountains, northeastern Bavaria",50.131881 N 11.881046 E,,,,,,,,"University of Vienna, Bela Hausmann; 2016-07-13"
SRR4021383,SAMN05518053,,,"USA:Harvard Forest LTER, Petersham, MA, USA",42.531427 N 72.189946 W,,,,,,,,JGI; 2016-08-06
SRR5834176,SRS2360615,,,USA: Wisconsin,46.041 N 89.686 W,,,,,,,,JGI; 2017-01-25
SRR5208214,SAMN06267450,,,"USA: Wyoming, Yellowstone National Park",44.539 N 110.798 W,,,,,,,,JGI; 2017-01-25
ERR1712081,SAMEA2731833,,"(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Guayaquil (MRGID:21974)",,"(latituden=-1.9389, longitudee=-84.611)",,,,-1.9389,-1.9344,-84.611,-84.6121,EBI; 2016-10-29
SRR2089110,SRS971066,,,Canada: Southwestern British Columbia,49 N 123 W,,,,,,,,"The University of British Columbia, Anamaria Crisan; 2015-06-24"
ERR3586881,ERS494643,,,,"(latituden=43.7056, longitudee=-16.8794)",,,,43.7056,43.8047,-16.8794,-16.8887,EBI; 2019-10-10
SRR7687306,SRS3665068,,,USA: Louisiana,29.8571 N 89.9778 W,,,,,,,,JGI; 2018-05-08
ERR3047572,ERS3014222,,,,,,,,,,,,EBI; 2019-08-08
SRR8667992,SRS4437783,,,USA: UCLA School of Dentistry,34.07 N 118.44 W,,,,,,,,"J. Craig Venter Institute, Jonathon Baker; 2019-03-04"
SRR2125785,SAMN03921874,,,China,39.9 N 116.3 E,,,,,,,,"Beijing Institutes of Life Science, Jinfeng Wang; 2015-07-24"
ERR1712116,ERS487930,,(search radius=5 degrees) Marine Ecoregion:Alboran Sea (MRGID:3324),,"(latituden=36.5533, longitudee=-6.5669)",,,,36.5533,35.5572,-6.5669,-6.5587,EBI; 2014-07-17
ERR3463890,SAMEA5842043,,,Germany,,48.269185,11.678631,,,,,,EBI; 2020-08-01
SRR5830076,SAMN06266055,,,USA: Chesapeake Bay,38.0754 N 76.1533 W,,,,,,,,JGI; 2017-01-25
SRR1596049,SAMN03079618,,,USA,41.7100 N 83.2971 W,,,,,,,,"Stony Brook University, Matthew Harke; 2014-09-25"
ERR1712027,ERS493237,,,,"(latituden=22.7267, longitudee=-157.9955)",,,,22.7267,22.7211,-157.9955,-158.0047,EBI; 2016-10-29
SRR12246005,SAMN14419043,,,South Korea: Seoul,37.505580 N 126.955897 E,,,,,,,,"Chung-Ang Univiersity, ByungHee Chun; 2020-03-20"
ERR1719483,SAMEA2657049,,(search radius=5 degrees) Marine Ecoregion:South Shetland Islands (MRGID:21925),,"(latituden=-60.2584, longitudee=-60.6226)",,,,-60.2584,-60.2658,-60.6226,-60.6155,EBI; 2014-07-17
SRR9939004,SRS5245211,,,Singapore,1.318 N 103.772 E,,,,,,,,"National University of Singapore, Gourvendu Saxena; 2019-08-06"
SRR5204550,SRS1941097,,,"USA:Monterey Bay, California, USA",36.25 N 122.2099 W,,,,,,,,JGI; 2017-01-25
SRR6049627,SAMN07631359,,,Atlantic Ocean:Southern Atlantic ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2017-09-11
SRR6285229,SRS2682082,,,Svalbard: Sassendalen,78.270961 N 17.228315 E,,,,,,,,"Copenhagen University, Morten Schostag; 2017-11-09"
ERR1711892,ERS490905,,(search radius=5 degrees) Marine Ecoregion:Malvinas/Falklands (MRGID:21890),,"(latituden=-47.1899, longitudee=-58.2724)",,,,-47.1899,-47.1919,-58.2724,-58.2617,EBI; 2014-07-17
SRR7963565,SRS3876263,,,USA: Georgia,31.4271 N 81.6053 W,,,,,,,,JGI; 2018-05-08
SRR125529,SRS105344,,,," 48* 22' 47.9634""   9* 21' 5.2236",,,,,,,,G2L; 2010-11-29
SRR6236596,SAMN07631368,,,USA: Montana,46.9233 N 110.871944 W,,,,,,,,JGI; 2017-09-11
SRR7086491,SRS3237662,,,USA: Oregon,46.1780 N 123.8530 W,,,,,,,,JGI; 2018-03-22
SRR6255520,SRS2660695,,,USA: Illinois,40.1191 N 88.1952 W,,,,,,,,JGI; 2017-09-11
SRR8272548,SRS4100972,,,China:Hhot,40.53 N 111.85 E,,,,,,,,"Key Laboratory of Dairy Biotechnology and Engineering, Education Ministry of P. R. China, Weicheng Li; 2018-12-03"
SRR11676107,SAMN14514825,,,USA: Texas,27.8959 N 97.0388 W,,,,,,,,JGI; 2020-04-01
ERR1712069,SAMEA2657094,,"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)",,"(latituden=-9.006, longitudee=-139.206)",,,,-9.006,-9.0049,-139.206,-139.2181,EBI; 2014-07-17
ERR1711947,ERS488506,,"(search radius=5 degrees) Marine Province:Mediterranean Sea (MRGID:8552), Marine Ecoregion:Adriatic Sea (MRGID:3314), Marine Ecoregion:Ionian Sea (MRGID:3351)",,"(latituden=39.2143, longitudee=19.406)",,,,39.2143,39.3599,19.406,19.4084,EBI; 2014-07-17
ERR3587131,ERS489296,,"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Chagos (MRGID:21836)",,"(latituden=-2.0465, longitudee=72.1568)",,,,-2.0465,-2.0367,72.1568,72.1709,EBI; 2016-10-27
SRR8272542,SAMN10517031,,,China:Hhot,40.53 N 111.85 E,,,,,,,,"Key Laboratory of Dairy Biotechnology and Engineering, Education Ministry of P. R. China, Weicheng Li; 2018-12-03"
SRR8591002,SRS4379141,,,Atlantic Ocean: Mid-Atlantic Ridge,22.75 N 46.083 W,,,,,,,,"Woods Hole Oceanographic Institution, Lauren Seyler; 2019-02-15"
SRR9607995,SAMN12129196,,,"USA:Connecticut,Groton",41.30 N 72.06 W,,,,,,,,"Smith College, Jean-David Grattepanche; 2019-06-24"
SRR6400003,SAMN08216154,,,"USA:california,San Francisco",37.788407 N 122.4068 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR9607993,SRS5032610,,,"USA:Connecticut,Groton",41.30 N 72.06 W,,,,,,,,"Smith College, Jean-David Grattepanche; 2019-06-24"
SRR125618,SRS105358,,,," 48* 23' 29.1156""   9* 22' 36.6486",,,,,,,,G2L; 2010-11-29
SRR6122732,SRS2570889,,,not applicable,,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Jingjing Peng; 2017-10-05"
SRR5208580,SAMN06266225,,,"USA:Yellowstone National Park, Wyoming, USA",44.7315 N 110.7113 W,,,,,,,,JGI; 2017-01-25
SRR7523282,SAMN09631125,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR2083773,SRS976861,,,USA: Ohio,,,,,,,,,"Auburn University, Molli Newman; 2015-06-30"
SRR3747363,SRS1543988,,,not applicable,56.1664 N 16.378218 E,,,,,,,,"J. Crag Venter Institute, Andrew Allen; 2016-05-04"
ERR1719341,SAMEA2731729,,,,"(latituden=44.0852, longitudee=-16.5645)",,,,44.0852,44.0898,-16.5645,-16.5595,EBI; 2016-11-11
SRR10090637,GSM4072307,,,,,,,,,,,,"DiRuggiero, Biology, The Johns Hopkins Univeristy, Diego Gelsinger; 2019-09-09"
SRR5200683,SRS1938174,,,Sweden: Coastal Baltic Sea sediment,57.89297088 N 16.58553428 E,,,,,,,,"Linnaeus University, Elias Broman; 2017-01-25"
ERR1719317,ERS491437,,"(search radius=5 degrees) Marine Ecoregion:Central Chile (MRGID:22007), Marine Ecoregion:Araucanian (MRGID:22009)",,"(latituden=-34.0614, longitudee=-73.1066)",,,,-34.0614,-33.8785,-73.1066,-73.0369,EBI; 2016-11-11
SRR8608025,SAMN10964569,,,not applicable,,,,,,,,,"INRA, Eric Dugat-Bony; 2019-02-19"
SRR2044878,SAMN03609696,,,Atlantic Ocean:Mid Cayman Rise,,,,,,,,,"University of Michigan, Sunit Jain; 2015-05-06"
SRR1810801,SRS850379,,,"USA: Narragansett Bay, RI",41.568611 N 71.391944 W,,,,,,,,"WHOI, Harriet Alexander; 2015-02-15"
SRR2126402,SRS1010845,,,Italy,,,,,,,,,"University of Naples Federico II, Danilo Ercolini; 2015-07-21"
SRR10748814,SAMN13639928,,,"Pacific Ocean: North Pacific Gyre, Station ALOHA",26.49250 N 158.60150 W,,,,,,,,"University of Hawaii, John Eppley; 2019-12-19"
SRR3892704,SAMN05388811,,,USA:North Pacific,48.575 N 125.5 W,,,,,,,,"University of Washington, Bryndan Durham; 2016-07-13"
SRR3232031,SAMN04536609,,,USA: Station 20 at the Neuse River Estuary,35.15330 N 77.07648 W,,,,,,,,"UNC AT CHAPEL HILL, Weida Gong; 2016-03-07"
SRR125617,SRS105357,,,," 48* 24' 4.5432""   9* 26' 30.0402",,,,,,,,G2L; 2010-11-29
ERR3322239,SAMEA5564709,,,Sweden,,56°55.851,17°03.640,2,,,,,EBI; 2020-07-29
ERR908535,SAMEA3445025,,,Pacific Ocean,,45.922741,-129.988104,1520,,,,,EBI; 2015-08-05
SRR7590045,SRS3593422,,,Czech Republic: South Bohemian Region,49.0448 N 13.6180 E,,,,,,,,JGI; 2018-05-11
SRR1301205,SRS622155,,,Eastern Mediterranean Sea,36Á29.565N 15Á39.593E,,,,,,,,"Woods Hole Oceanographic Institution, Virginia Edgcomb; 2014-03-11"
ERR3586749,ERS1308658,,[AO] Arctic Ocean (MRGID:1906),,,,,,72.5199,72.5529,44.0552,44.0932,EBI; 2016-10-29
ERR2562187,ERS2465362,,,Belgium,,50°99'85.06'',3°78'51.70''E,0.1,,,,,EBI; 2018-07-04
ERR3586884,SAMEA2623974,,,,"(latituden=44.0497, longitudee=-16.6034)",,,,44.0497,44.0774,-16.6034,-16.5781,EBI; 2019-10-10
SRR3884788,SRS1559299,,,Singapore,1.34020980 N 103.88671875 E,,,,,,,,"Nanyang Technological University, Anee Mohanty; 2016-06-28"
ERR3010901,SAMEA5185537,,,,,,,,,,,,EBI; 2019-04-21
SRR5207633,SAMN06267422,,,"USA: Wyoming, Yellowstone National Park",44.539 N 110.798 W,,,,,,,,JGI; 2017-01-25
SRR8557213,SAMN10866757,,,USA: Lake Oneida,,,,,,,,,"Tongji University, meng jiang; 2019-02-02"
SRR6122727,SRS2570910,,,not applicable,,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Jingjing Peng; 2017-10-05"
ERR3586996,ERS490187,,"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806), Marine Ecoregion:Namaqua (MRGID:21832)",,"(latituden=-32.2401, longitudee=17.7103)",,,,-32.2401,32.1,17.7103,17.7,EBI; 2019-10-10
SRR7632649,SRS3617506,,,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,,,,,,,,"University of Hawaii, John Eppley; 2018-07-24"
ERR1712115,SAMEA2622393,,"(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Guayaquil (MRGID:21974)",,"(latituden=-2.0133, longitudee=-84.589)",,,,-2.0133,-1.972,-84.589,-84.601,EBI; 2016-10-29
SRR5249015,SAMN06268418,,,"USA: Sandusky Bay, Ohio",41.474889 N 82.854137 W,,,,,,,,JGI; 2017-01-25
