group	evalue
Clstr172	Clstr629	1.165e-05
Clstr172	Clstr645	1.65e-07
Clstr172	Clstr661	3.51e-06
Clstr172	Clstr665	1.18e-05
Clstr172	Clstr673	0.0001305
Clstr172	Clstr695	0.001
Clstr172	Clstr696	0.000468
Clstr173	Clstr041	9.68e-06
Clstr173	Clstr048	0.000388
Clstr173	Clstr051	2.6e-05
Clstr173	Clstr075	5.34e-05
Clstr173	Clstr082	0.001
Clstr173	Clstr097	5.38e-07
Clstr173	Clstr107	0.001
Clstr173	Clstr135	0.0002165
Clstr173	Clstr144	3e-04
Clstr173	Clstr159	0.000359
Clstr173	Clstr179	0.000101
Clstr173	Clstr184	4.41e-05
Clstr173	Clstr188	0.0001105
Clstr173	Clstr210	1.75e-06
Clstr173	Clstr219	1.17e-05
Clstr173	Clstr220	4.425e-06
Clstr173	Clstr252	0.000231
Clstr173	Clstr256	0.001
Clstr173	Clstr257	0.0003645
Clstr173	Clstr263	7.18e-05
Clstr173	Clstr276	1.97e-06
Clstr173	Clstr299	2.65e-07
Clstr173	Clstr321	7.37e-05
Clstr173	Clstr338	0.000195
Clstr173	Clstr349	0.001
Clstr173	Clstr406	0.000181
Clstr173	Clstr416	1.215e-05
Clstr173	Clstr424	1.29e-06
Clstr173	Clstr432	0.000736
Clstr173	Clstr439	0.0003245
Clstr173	Clstr442	1.41e-16
Clstr173	Clstr446	0.000112
Clstr173	Clstr457	1.88e-05
Clstr173	Clstr458	0.001
Clstr173	Clstr464	0.000418
Clstr173	Clstr486	1.7e-05
Clstr173	Clstr500	4.615e-07
Clstr173	Clstr507	0.001
Clstr173	Clstr513	0.000377
Clstr173	Clstr593	7.835e-06
Clstr173	Clstr597	0.000106
Clstr173	Clstr608	0.000587
Clstr173	Clstr611	9.34e-07
Clstr173	Clstr643	1.4e-05
Clstr173	Clstr650	9.18e-05
Clstr173	Clstr651	0.001
Clstr173	Clstr653	1.27e-05
Clstr173	Clstr658	2.62e-05
Clstr173	Clstr669	2.68e-05
Clstr173	Clstr681	0.000735
Clstr173	Clstr694	0.000111
Clstr174	Clstr285	2.97e-23
Clstr175	Clstr045	0.000219
Clstr175	Clstr146	0.000127
Clstr175	Clstr153	1.29e-09
Clstr175	Clstr165	5.27e-05
Clstr175	Clstr169	4.43e-05
Clstr175	Clstr194	0.0004865
Clstr175	Clstr196	0.0004265
Clstr175	Clstr224	0.0004435
Clstr175	Clstr264	0.001
Clstr175	Clstr306	0.000141
Clstr175	Clstr341	2.42e-06
Clstr175	Clstr375	0.0001815
Clstr175	Clstr377	0.0001515
Clstr175	Clstr384	6.48e-05
Clstr175	Clstr527	0.0005765
Clstr175	Clstr547	0.000204
Clstr175	Clstr560	5.97e-07
Clstr175	Clstr646	8.52e-05
Clstr175	Clstr685	2.43e-07
Clstr175	Clstr686	2.075e-05
Clstr175	zhaovirus	2.83e-10
Clstr176	Clstr158	2.51e-12
Clstr177	Clstr110	0.00033
Clstr177	Clstr118	0.000654
Clstr177	Clstr163	0.000215
Clstr177	Clstr471	0.0004205
Clstr177	Clstr490	5.1e-06
Clstr177	Clstr502	1.4035e-22
Clstr177	Clstr515	4.035e-05
Clstr177	Clstr596	7.9e-06
Clstr178	Clstr148	2.81e-14
Clstr178	Clstr183	2.71e-08
Clstr178	Clstr201	2.6456e-20
Clstr178	luteo-sobemo	1.78e-05
Clstr179	Clstr041	4.65e-07
Clstr179	Clstr048	0.000103
Clstr179	Clstr051	3.215e-07
Clstr179	Clstr075	6.435e-06
Clstr179	Clstr082	0.001
Clstr179	Clstr097	1.375e-08
Clstr179	Clstr159	0.001
Clstr179	Clstr173	8.38e-05
Clstr179	Clstr184	0.001
Clstr179	Clstr188	6.92e-05
Clstr179	Clstr210	9.72e-05
Clstr179	Clstr219	1.97e-08
Clstr179	Clstr220	3.835e-09
Clstr179	Clstr257	6.88e-05
Clstr179	Clstr263	0.000572
Clstr179	Clstr276	0.000325
Clstr179	Clstr299	0.001
Clstr179	Clstr302	1.3e-05
Clstr179	Clstr321	3.68e-05
Clstr179	Clstr338	7.59e-06
Clstr179	Clstr406	0.0002465
Clstr179	Clstr424	3.4e-08
Clstr179	Clstr442	1.16e-06
Clstr179	Clstr454	0.001
Clstr179	Clstr457	5.92e-08
Clstr179	Clstr458	1.2e-06
Clstr179	Clstr464	0.000176
Clstr179	Clstr486	1.12e-07
Clstr179	Clstr500	2.45e-06
Clstr179	Clstr513	0.000208
Clstr179	Clstr558	2.345e-05
Clstr179	Clstr593	6.755e-05
Clstr179	Clstr597	9.72e-05
Clstr179	Clstr611	1.55e-06
Clstr179	Clstr627	0.001
Clstr179	Clstr650	0.000822
Clstr179	Clstr694	0.001
Clstr180	Clstr251	4.88e-14
Clstr181	Clstr043	0.000852
Clstr181	Clstr469	0.0007195
Clstr181	Clstr563	2.79e-06
Clstr182	Clstr018	1.05e-05
Clstr182	Clstr025	7.385e-10
Clstr182	Clstr035	2.1e-08
Clstr182	Clstr039	1.415e-31
Clstr182	Clstr054	3.795e-05
Clstr182	Clstr066	2.125e-11
Clstr182	Clstr074	6.11e-07
Clstr182	Clstr079	6.08e-09
Clstr182	Clstr083	5.5e-08
Clstr182	Clstr084	1.17e-07
Clstr182	Clstr090	1.57e-06
Clstr182	Clstr091	6.77e-08
Clstr182	Clstr095	6.65e-06
Clstr182	Clstr127	1.55e-06
Clstr182	Clstr142	1.055e-08
Clstr182	Clstr217	0.0004985
Clstr182	Clstr221	7.15e-06
Clstr182	Clstr230	1.63e-06
Clstr182	Clstr300	3.3e-07
Clstr182	Clstr323	2.435e-07
Clstr182	Clstr367	8.77e-35
Clstr182	Clstr436	3.34e-08
Clstr182	Clstr449	1.44e-05
Clstr182	Clstr503	4.28e-06
Clstr182	Clstr617	5.46e-10
Clstr183	Clstr148	5.29e-05
Clstr183	Clstr178	2.35e-08
Clstr183	Clstr201	5.4465e-09
Clstr183	Clstr432	2.28e-05
Clstr183	Clstr506	0.000402
Clstr183	Clstr522	8.45e-05
Clstr183	luteo-sobemo	4e-05
Clstr184	Clstr041	1.68e-05
Clstr184	Clstr048	0.000218
Clstr184	Clstr051	0.000352
Clstr184	Clstr075	0.000109
Clstr184	Clstr082	0.000117
Clstr184	Clstr097	8.69e-07
Clstr184	Clstr159	0.000358
Clstr184	Clstr173	4.79e-05
Clstr184	Clstr188	5.35e-05
Clstr184	Clstr210	6.14e-05
Clstr184	Clstr219	2.755e-05
Clstr184	Clstr220	8.69e-07
Clstr184	Clstr255	0.000262
Clstr184	Clstr263	5.25e-06
Clstr184	Clstr276	3.92e-06
Clstr184	Clstr286	0.000425
Clstr184	Clstr299	6.94e-06
Clstr184	Clstr321	4.195e-06
Clstr184	Clstr338	0.000247
Clstr184	Clstr349	0.000124
Clstr184	Clstr406	0.000379
Clstr184	Clstr424	6.01e-06
Clstr184	Clstr432	0.000281
Clstr184	Clstr439	0.001
Clstr184	Clstr442	3.61e-07
Clstr184	Clstr446	0.000457
Clstr184	Clstr457	0.0002305
Clstr184	Clstr486	2.815e-06
Clstr184	Clstr500	1.22e-06
Clstr184	Clstr507	0.0008055
Clstr184	Clstr513	0.000342
Clstr184	Clstr525	0.001
Clstr184	Clstr541	0.001
Clstr184	Clstr593	5.705e-07
Clstr184	Clstr597	0.001
Clstr184	Clstr608	8.03e-17
Clstr184	Clstr611	5.5e-07
Clstr184	Clstr650	0.000186
Clstr184	Clstr651	0.0004255
Clstr184	Clstr658	0.000641
Clstr184	Clstr669	0.000498
Clstr184	Clstr694	0.000104
Clstr184	yanvirus	7.51e-05
Clstr185	Clstr062	9.06e-18
Clstr185	Clstr156	9.82e-17
Clstr185	Clstr235	6.03e-10
Clstr185	Clstr400	5.32e-05
Clstr185	Clstr637	2.71e-13
Clstr186	Clstr536	4.6e-12
Clstr186	Clstr667	0.001
Clstr188	Clstr041	2.76e-05
Clstr188	Clstr051	2.82e-05
Clstr188	Clstr075	1.545e-13
Clstr188	Clstr082	0.001
Clstr188	Clstr097	3.865e-06
Clstr188	Clstr159	0.000404
Clstr188	Clstr173	9.89e-05
Clstr188	Clstr179	8.66e-05
Clstr188	Clstr184	4.45e-05
Clstr188	Clstr210	0.000827
Clstr188	Clstr219	1.96e-05
Clstr188	Clstr220	5.42e-06
Clstr188	Clstr257	0.000551
Clstr188	Clstr263	4.825e-06
Clstr188	Clstr276	3.58e-05
Clstr188	Clstr299	0.0001625
Clstr188	Clstr321	0.000153
Clstr188	Clstr338	0.000433
Clstr188	Clstr349	0.000358
Clstr188	Clstr406	0.0002325
Clstr188	Clstr424	1.65e-08
Clstr188	Clstr442	3.175e-06
Clstr188	Clstr446	4e-04
Clstr188	Clstr457	6e-05
Clstr188	Clstr464	0.00086
Clstr188	Clstr486	1.64e-05
Clstr188	Clstr500	5.95e-06
Clstr188	Clstr508	1.18e-09
Clstr188	Clstr513	0.001
Clstr188	Clstr593	5.52e-05
Clstr188	Clstr597	0.000572
Clstr188	Clstr611	7.16e-06
Clstr188	Clstr650	0.0001125
Clstr188	Clstr669	2.02e-05
Clstr188	Clstr681	0.001
Clstr188	Clstr694	9.76e-05
Clstr189	Clstr049	0.001
Clstr189	Clstr134	0.000568
Clstr189	Clstr447	0.000155
Clstr191	Clstr068	2.785e-16
Clstr191	Clstr493	1.93e-17
Clstr193	Clstr076	0.000638
Clstr193	Clstr154	6.995e-05
Clstr193	Clstr448	0.001
Clstr193	Clstr455	6.635e-09
Clstr193	Clstr545	3.535e-06
Clstr193	Clstr551	0.000463
Clstr193	Clstr612	0.000684
Clstr194	Clstr153	5.38e-05
Clstr194	Clstr175	0.000416
Clstr194	Clstr334	0.00051
Clstr194	Clstr335	2.0401645e-19
Clstr194	Clstr375	1.53e-05
Clstr194	Clstr418	0.001
Clstr194	Clstr685	4.24e-05
Clstr194	Clstr686	6.18e-05
Clstr194	zhaovirus	0.0005975
Clstr195	Clstr422	0.001
Clstr195	Clstr613	0.000104
Clstr196	Clstr045	1.035e-24
Clstr196	Clstr047	3.44e-06
Clstr196	Clstr077	9e-07
Clstr196	Clstr103	3.31e-11
Clstr196	Clstr120	8.06e-18
Clstr196	Clstr146	9.22e-22
Clstr196	Clstr153	9.155e-06
Clstr196	Clstr165	6.045e-26
Clstr196	Clstr169	2.77e-08
Clstr196	Clstr175	4e-04
Clstr196	Clstr224	5.73e-13
Clstr196	Clstr241	4.745e-21
Clstr196	Clstr264	5.73e-21
Clstr196	Clstr306	0.000235
Clstr196	Clstr341	4.67e-15
Clstr196	Clstr375	1.87e-05
Clstr196	Clstr377	1.045e-07
Clstr196	Clstr384	2.71e-07
Clstr196	Clstr428	0.000325
Clstr196	Clstr527	1.2e-25
Clstr196	Clstr528	0.001
Clstr196	Clstr633	1.28e-09
Clstr196	Clstr635	5.14e-05
Clstr196	Clstr646	2.125e-05
Clstr196	Clstr685	0.001
Clstr196	Clstr686	1.33e-07
Clstr196	zhaovirus	0.000341
Clstr197	Clstr078	0.000259
Clstr197	Clstr115	0.000174
Clstr198	Clstr002	0.000118
Clstr198	Clstr003	0.000524
Clstr198	Clstr020	2.21e-05
Clstr198	Clstr033	5.42e-07
Clstr198	Clstr096	0.000496
Clstr198	Clstr140	2.71e-10
Clstr198	Clstr171	5.34e-14
Clstr198	Clstr245	1.53e-05
Clstr198	Clstr256	0.001
Clstr198	Clstr272	0.000368
Clstr198	Clstr380	6.52e-05
Clstr198	Clstr570	6.775e-05
Clstr198	Clstr571	8.77e-10
Clstr198	Clstr618	8.4e-06
Clstr198	Clstr680	0.001
Clstr199	Clstr305	2.0575e-14
Clstr199	Clstr320	5.12e-32
Clstr199	Clstr393	0.0007065
Clstr199	Clstr440	9.49e-29
Clstr199	Clstr524	0.000648
Clstr200	Clstr031	3.03e-14
Clstr200	Clstr088	0.001
Clstr200	Clstr106	3.49e-05
Clstr200	Clstr124	1.27e-11
Clstr200	Clstr172	6.025e-09
Clstr200	Clstr204	1.77e-09
Clstr200	Clstr208	0.001
Clstr200	Clstr216	7.61e-13
Clstr200	Clstr239	2.46e-06
Clstr200	Clstr288	6.3e-06
Clstr200	Clstr357	8.87e-15
Clstr200	Clstr366	7.815e-13
Clstr200	Clstr369	2.64e-05
Clstr200	Clstr396	6.34e-13
Clstr200	Clstr397	3.22e-05
Clstr200	Clstr441	0.0001165
Clstr200	Clstr448	2.92e-17
Clstr200	Clstr455	0.000277
Clstr200	Clstr456	4.19e-09
Clstr200	Clstr470	0.001
Clstr200	Clstr485	3.185e-05
Clstr200	Clstr488	0.001
Clstr200	Clstr519	1.4195e-13
Clstr200	Clstr530	3.08e-07
Clstr200	Clstr566	5.51e-08
Clstr200	Clstr581	6.47e-06
Clstr200	Clstr607	2.56e-07
Clstr200	Clstr612	0.000261
Clstr200	Clstr629	3.905e-06
Clstr200	Clstr645	2.745e-11
Clstr200	Clstr661	3.18e-06
Clstr200	Clstr665	6.515e-08
Clstr200	Clstr673	0.000203
Clstr200	Clstr695	1.52e-05
Clstr200	Clstr696	4.4e-05
Clstr201	Clstr148	2.03e-11
Clstr201	Clstr178	3.3671e-20
Clstr201	Clstr183	8.296e-09
Clstr201	Clstr218	0.0001679
Clstr201	luteo-sobemo	4.845e-06
Clstr202	Clstr321	0.0002475
Clstr202	Clstr395	0.00064
Clstr202	Clstr576	8.62e-11
Clstr203	Clstr234	0.000332
Clstr203	Clstr238	1.91e-07
Clstr203	Clstr317	3.61e-06
Clstr203	Clstr364	0.000244
Clstr203	Clstr395	1.0535e-09
Clstr203	Clstr487	1.33e-09
Clstr203	Clstr517	1.01e-05
Clstr203	Clstr543	1.89e-05
Clstr203	Clstr574	0.000499
Clstr203	Clstr576	0.000253
Clstr203	Clstr699	2.765e-06
Clstr204	Clstr031	1.825e-08
Clstr204	Clstr088	0.000103
Clstr204	Clstr124	1.09e-07
Clstr204	Clstr172	1.39e-06
Clstr204	Clstr200	2.02e-09
Clstr204	Clstr205	0.001
Clstr204	Clstr216	6.23e-09
Clstr204	Clstr239	1.72e-06
Clstr204	Clstr288	3.64e-05
Clstr204	Clstr357	4.17e-09
Clstr204	Clstr366	3.44e-14
Clstr204	Clstr396	1.245e-09
Clstr204	Clstr448	1.33e-14
Clstr204	Clstr456	2.89e-12
Clstr204	Clstr470	0.0007865
Clstr204	Clstr519	1.455e-07
Clstr204	Clstr530	4.68e-06
Clstr204	Clstr546	2.97e-05
Clstr204	Clstr550	0.000698
Clstr204	Clstr566	5.32e-08
Clstr204	Clstr581	8.06e-06
Clstr204	Clstr607	4.01e-06
Clstr204	Clstr612	2.44e-06
Clstr204	Clstr629	2.285e-05
Clstr204	Clstr645	1.11e-06
Clstr204	Clstr661	1.97e-06
Clstr204	Clstr665	4.96e-06
Clstr204	Clstr673	0.000449
Clstr204	Clstr695	0.00018415
Clstr205	Clstr031	0.000466
Clstr205	Clstr070	1.69e-15
Clstr205	Clstr124	0.000284
Clstr205	Clstr172	0.001
Clstr205	Clstr216	6.96e-06
Clstr205	Clstr266	8.02e-13
Clstr205	Clstr357	6.55e-05
Clstr205	Clstr448	0.00072
Clstr205	Clstr530	0.00012135
Clstr205	Clstr566	1.785e-05
Clstr205	Clstr581	9.94e-05
Clstr205	Clstr607	0.000385
Clstr205	Clstr645	0.0005675
Clstr205	Clstr661	4.16e-05
Clstr205	Clstr665	0.000291
Clstr205	Clstr673	6.06e-19
Clstr206	Clstr151	6.295e-07
Clstr206	Clstr630	0.001
Clstr208	Clstr031	0.00081
Clstr208	Clstr088	1.18e-09
Clstr208	Clstr124	0.0004575
Clstr208	Clstr200	0.001
Clstr208	Clstr239	0.001
Clstr208	Clstr339	0.001
Clstr208	Clstr357	0.00010035
Clstr208	Clstr396	0.000659
Clstr208	Clstr448	5.24e-06
Clstr208	Clstr488	0.000114
Clstr208	Clstr516	6.28e-05
Clstr208	Clstr519	0.001
Clstr208	Clstr530	7.84e-06
Clstr208	Clstr540	0.001
Clstr208	Clstr566	2.91e-05
Clstr208	Clstr629	0.000313
Clstr208	Clstr661	4.28e-06
Clstr208	Clstr700	0.000839
Clstr209	Clstr412	0.001
Clstr210	Clstr041	3.3e-06
Clstr210	Clstr048	0.000256
Clstr210	Clstr051	6.05e-05
Clstr210	Clstr075	0.000893
Clstr210	Clstr097	3.955e-06
Clstr210	Clstr135	8.13e-14
Clstr210	Clstr173	2.18e-06
Clstr210	Clstr179	0.00013
Clstr210	Clstr184	5.145e-05
Clstr210	Clstr188	0.000792
Clstr210	Clstr219	3.25e-05
Clstr210	Clstr220	0.000254
Clstr210	Clstr256	0.00041
Clstr210	Clstr257	7.465e-05
Clstr210	Clstr262	0.0005215
Clstr210	Clstr263	8.19e-07
Clstr210	Clstr276	5.715e-05
Clstr210	Clstr286	0.001
Clstr210	Clstr299	0.0003815
Clstr210	Clstr321	7.28e-05
Clstr210	Clstr338	0.001
Clstr210	Clstr349	2.14e-05
Clstr210	Clstr364	4.185e-05
Clstr210	Clstr406	8.51e-05
Clstr210	Clstr416	9.1e-09
Clstr210	Clstr424	4.28e-06
Clstr210	Clstr432	2.15e-06
Clstr210	Clstr439	0.000104
Clstr210	Clstr442	1.725e-08
Clstr210	Clstr457	7.855e-05
Clstr210	Clstr458	0.000132
Clstr210	Clstr463	0.000217
Clstr210	Clstr464	7.12e-06
Clstr210	Clstr486	0.000109
Clstr210	Clstr500	1.74e-06
Clstr210	Clstr513	5.955e-06
Clstr210	Clstr541	3.13e-05
Clstr210	Clstr557	7.985e-05
Clstr210	Clstr577	1.45e-06
Clstr210	Clstr593	4.89e-06
Clstr210	Clstr611	1.245e-05
Clstr210	Clstr650	0.001
Clstr210	Clstr653	3.565e-05
Clstr210	Clstr658	1.18e-05
Clstr210	Clstr669	1.06e-06
Clstr210	Clstr694	2.51e-05
Clstr210	yanvirus	1.75e-06
Clstr211	Clstr128	1.064e-13
Clstr211	Clstr495	8.82e-05
Clstr212	Clstr049	1.26e-05
Clstr212	Clstr134	9.47e-14
Clstr212	Clstr260	0.000376
Clstr212	Clstr301	0.001
Clstr212	Clstr447	4.4e-07
Clstr213	Clstr571	0.001
Clstr214	Clstr290	3.315e-22
Clstr215	Clstr530	0.00018455
Clstr215	Clstr607	7.44e-06
Clstr215	Clstr629	0.000514
Clstr215	Clstr634	0.000198
Clstr216	Clstr031	1.11e-12
Clstr216	Clstr070	0.000158
Clstr216	Clstr106	0.000765
Clstr216	Clstr124	1.52e-11
Clstr216	Clstr172	5.3e-09
Clstr216	Clstr200	1.11e-12
Clstr216	Clstr204	1.47e-08
Clstr216	Clstr205	7.59e-06
Clstr216	Clstr239	8.745e-07
Clstr216	Clstr266	0.001
Clstr216	Clstr288	2.27e-07
Clstr216	Clstr357	1.27e-13
Clstr216	Clstr366	8.99e-13
Clstr216	Clstr369	5.5e-05
Clstr216	Clstr396	1.275e-12
Clstr216	Clstr397	0.000437
Clstr216	Clstr441	3.295e-05
Clstr216	Clstr448	1.82e-13
Clstr216	Clstr455	0.0007195
Clstr216	Clstr456	3.08e-09
Clstr216	Clstr470	6.43e-05
Clstr216	Clstr485	8.24e-05
Clstr216	Clstr488	0.00014925
Clstr216	Clstr514	0.000802
Clstr216	Clstr519	4.53e-10
Clstr216	Clstr530	8.52e-08
Clstr216	Clstr533	0.001
Clstr216	Clstr546	0.001
Clstr216	Clstr566	2.15e-07
Clstr216	Clstr581	1.58e-06
Clstr216	Clstr607	7.56e-09
Clstr216	Clstr612	6.68e-06
Clstr216	Clstr629	2.08e-08
Clstr216	Clstr645	3.27e-08
Clstr216	Clstr661	3.82e-10
Clstr216	Clstr665	2.97e-10
Clstr216	Clstr673	7.165e-06
Clstr216	Clstr695	0.000576
Clstr216	Clstr700	5.01e-05
Clstr216	Clstr702	0.000148
Clstr217	Clstr018	2.27e-05
Clstr217	Clstr025	1.76e-13
Clstr217	Clstr035	1.91e-07
Clstr217	Clstr054	4.165e-05
Clstr217	Clstr066	0.000289
Clstr217	Clstr074	0.000454
Clstr217	Clstr079	0.000166
Clstr217	Clstr083	1.8e-14
Clstr217	Clstr084	2.68e-19
Clstr217	Clstr090	0.000939
Clstr217	Clstr091	0.000368
Clstr217	Clstr095	5.605e-06
Clstr217	Clstr127	3.62e-05
Clstr217	Clstr142	2.5e-05
Clstr217	Clstr182	0.000524
Clstr217	Clstr230	2.06e-20
Clstr217	Clstr300	7.775e-05
Clstr217	Clstr323	0.001
Clstr217	Clstr367	1.18e-05
Clstr217	Clstr436	8.1e-05
Clstr217	Clstr503	2.83e-05
Clstr217	Clstr617	3.72e-07
Clstr218	Clstr117	1.3e-06
Clstr218	Clstr141	2.865e-18
Clstr218	Clstr201	0.000203
Clstr218	Clstr608	0.001
Clstr219	Clstr041	3.075e-07
Clstr219	Clstr048	0.00018
Clstr219	Clstr051	3.82e-06
Clstr219	Clstr075	2.91e-06
Clstr219	Clstr082	0.000299
Clstr219	Clstr097	8.225e-08
Clstr219	Clstr107	0.0008725
Clstr219	Clstr159	6.6e-05
Clstr219	Clstr173	1.27e-05
Clstr219	Clstr179	2.92e-08
Clstr219	Clstr184	2.775e-05
Clstr219	Clstr188	2.03e-05
Clstr219	Clstr210	3.52e-05
Clstr219	Clstr220	3.45e-09
Clstr219	Clstr247	0.000459
Clstr219	Clstr250	0.001
Clstr219	Clstr255	0.00074
Clstr219	Clstr256	0.001
Clstr219	Clstr257	5.91e-05
Clstr219	Clstr263	2.085e-06
Clstr219	Clstr276	1.34e-05
Clstr219	Clstr286	0.000176
Clstr219	Clstr299	0.0001145
Clstr219	Clstr302	5.51e-05
Clstr219	Clstr321	4.095e-05
Clstr219	Clstr338	1.73e-05
Clstr219	Clstr349	0.000218
Clstr219	Clstr406	3.41e-05
Clstr219	Clstr416	0.00084
Clstr219	Clstr424	1.87e-07
Clstr219	Clstr439	0.000672
Clstr219	Clstr442	1.21e-07
Clstr219	Clstr457	1.94e-07
Clstr219	Clstr458	0.00038
Clstr219	Clstr464	1.74e-05
Clstr219	Clstr478	0.001
Clstr219	Clstr486	5.64e-08
Clstr219	Clstr500	1.125e-07
Clstr219	Clstr507	0.000505
Clstr219	Clstr513	0.00014
Clstr219	Clstr593	2.705e-05
Clstr219	Clstr597	2.19e-05
Clstr219	Clstr608	0.000714
Clstr219	Clstr611	1e-06
Clstr219	Clstr614	0.001
Clstr219	Clstr650	4.255e-05
Clstr219	Clstr651	0.001
Clstr219	Clstr658	0.001
Clstr219	Clstr669	1.46e-05
Clstr219	Clstr694	3.71e-05
Clstr220	Clstr041	1.23e-06
Clstr220	Clstr048	2.235e-05
Clstr220	Clstr051	5.375e-06
Clstr220	Clstr075	1.05e-06
Clstr220	Clstr082	1.67e-05
Clstr220	Clstr097	6.6e-09
Clstr220	Clstr107	0.001
Clstr220	Clstr159	0.000301
Clstr220	Clstr173	3.62e-06
Clstr220	Clstr179	5.54e-09
Clstr220	Clstr184	7.39e-07
Clstr220	Clstr188	4.79e-06
Clstr220	Clstr210	0.000237
Clstr220	Clstr219	3.06e-09
Clstr220	Clstr247	0.001
Clstr220	Clstr257	0.0002565
Clstr220	Clstr263	2.905e-05
Clstr220	Clstr276	1.51e-06
Clstr220	Clstr286	0.000608
Clstr220	Clstr299	5.195e-06
Clstr220	Clstr302	7.39e-05
Clstr220	Clstr321	5.205e-06
Clstr220	Clstr328	0.001
Clstr220	Clstr338	4.95e-06
Clstr220	Clstr349	0.001
Clstr220	Clstr363	0.000475
Clstr220	Clstr406	6.88e-06
Clstr220	Clstr416	0.0008525
Clstr220	Clstr424	2.35e-08
Clstr220	Clstr432	0.001
Clstr220	Clstr439	0.000303
Clstr220	Clstr442	1.47e-08
Clstr220	Clstr446	0.001
Clstr220	Clstr454	9e-04
Clstr220	Clstr457	8.505e-08
Clstr220	Clstr464	4.575e-05
Clstr220	Clstr486	1.115e-09
Clstr220	Clstr500	1.835e-07
Clstr220	Clstr507	0.000392
Clstr220	Clstr513	5.82e-06
Clstr220	Clstr518	0.000505
Clstr220	Clstr541	0.001
Clstr220	Clstr593	8.24e-07
Clstr220	Clstr597	5.47e-06
Clstr220	Clstr608	0.0002535
Clstr220	Clstr611	9.28e-08
Clstr220	Clstr614	0.001
Clstr220	Clstr616	0.001
Clstr220	Clstr643	0.001
Clstr220	Clstr650	2.3e-05
Clstr220	Clstr651	0.00068
Clstr220	Clstr653	0.001
Clstr220	Clstr658	0.00017
Clstr220	Clstr669	0.000573
Clstr220	Clstr694	2.54e-05
Clstr221	Clstr018	1.85e-06
Clstr221	Clstr025	1.59e-05
Clstr221	Clstr035	5.45e-06
Clstr221	Clstr039	3.59e-05
Clstr221	Clstr054	1.17e-06
Clstr221	Clstr066	0.000126
Clstr221	Clstr074	6.07e-06
Clstr221	Clstr079	2.98e-05
Clstr221	Clstr083	4.38e-05
Clstr221	Clstr084	5.27e-05
Clstr221	Clstr090	1.99e-05
Clstr221	Clstr091	5.9e-05
Clstr221	Clstr095	8.46e-07
Clstr221	Clstr127	1.73e-06
Clstr221	Clstr142	1.69e-05
Clstr221	Clstr182	5.255e-06
Clstr221	Clstr230	1.63e-05
Clstr221	Clstr300	1.8e-07
Clstr221	Clstr323	0.001
Clstr221	Clstr367	3.57e-05
Clstr221	Clstr436	0.000352
Clstr221	Clstr449	8.02e-07
Clstr221	Clstr503	0.001
Clstr221	Clstr617	3.82e-07
Clstr222	Clstr641	5.11e-11
Clstr224	Clstr045	8.26e-12
Clstr224	Clstr047	1.12e-06
Clstr224	Clstr077	9.36e-09
Clstr224	Clstr094	0.001
Clstr224	Clstr103	1.78e-05
Clstr224	Clstr120	8.48e-09
Clstr224	Clstr146	3.37e-12
Clstr224	Clstr153	1.02e-06
Clstr224	Clstr165	4.575e-13
Clstr224	Clstr169	6.56e-10
Clstr224	Clstr175	0.000356
Clstr224	Clstr196	5.455e-13
Clstr224	Clstr241	1.67e-14
Clstr224	Clstr264	2.23e-08
Clstr224	Clstr306	3.145e-05
Clstr224	Clstr341	3.4e-09
Clstr224	Clstr375	2.045e-09
Clstr224	Clstr377	2.47e-08
Clstr224	Clstr384	3.295e-07
Clstr224	Clstr418	0.000424
Clstr224	Clstr527	1.053e-14
Clstr224	Clstr528	6.47e-05
Clstr224	Clstr633	7.92e-06
Clstr224	Clstr635	1.04e-06
Clstr224	Clstr646	2.93e-07
Clstr224	Clstr685	0.000386
Clstr224	Clstr686	7.62e-08
Clstr224	zhaovirus	0.000276
Clstr225	Clstr087	1.35e-31
Clstr225	Clstr129	2.535e-27
Clstr225	Clstr137	1.69e-30
Clstr225	Clstr168	5.16e-24
Clstr225	Clstr347	5.17e-16
Clstr225	Clstr348	5.5e-29
Clstr225	Clstr389	1.57e-06
Clstr225	Clstr466	3.93e-22
Clstr225	Clstr501	2.75e-19
Clstr225	Clstr506	2.77e-19
Clstr225	Clstr526	7.565e-30
Clstr225	Clstr561	3.31e-13
Clstr225	Clstr599	3.39e-29
Clstr225	Clstr601	1.0201e-18
Clstr225	Clstr604	5.305e-27
Clstr225	Clstr623	5.37e-23
Clstr225	Clstr625	1.05e-14
Clstr225	Clstr649	8.96e-05
Clstr226	Clstr002	7.04e-15
Clstr226	Clstr003	1.27e-11
Clstr226	Clstr020	7.52e-07
Clstr226	Clstr033	0.000256
Clstr226	Clstr245	3.22e-05
Clstr226	Clstr272	1.1e-06
Clstr226	Clstr380	0.001
Clstr226	Clstr512	0.000328
Clstr227	Clstr041	0.001
Clstr227	Clstr349	0.00024703
Clstr227	Clstr424	0.001
Clstr227	Clstr439	0.000738
Clstr227	Clstr611	0.001
Clstr227	Clstr643	3.31e-05
Clstr227	Clstr650	0.0002985
Clstr227	Clstr651	3.88e-05
Clstr227	Clstr669	5.555e-05
Clstr230	Clstr018	2.1e-05
Clstr230	Clstr025	1.65e-23
Clstr230	Clstr035	1.07e-10
